client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
1940441e971196db08e0d5940f8a7a472a975e7a1fbe4cfe73604213b2303914ad7214353ca908e30951bcd89a49b9921350a5803cfbf2c91290d6da0bb1cda5	common_voice_he_42922381.mp3	1517839a4d0e2476c0b9520ef5516e611199b01d1def5d0eb408046631ac0371	אלא מבטאים גם הישגים בתחומי הספורט והאמנות		2	0			ישראלי		he	
3a38d42bea53de25fce0f9adeceec3320b7b7a540742b9e1cb4d583102e1ee4aec190449d6b7b2726e765ceb80247a182c1d6154d89cb40e462b547297b656bd	common_voice_he_41896622.mp3	035caf6e810b22dc3953a11d5b1e0f1bb94f1b58a60e6376d17c4b345e1380e9	יום הזיכרון הוא יום של משפחת השכול כולה		2	0					he	
4aab196b0edb557b2ad3bd744477ed26dc58f95c85383fbbeb3e46e9d2e2a14358badf874069f7cf6fb9fe15940fd6700235b129cf80f2f1d9fc9d232d1e5e76	common_voice_he_42358470.mp3	353dafaaab5c62418da91cc90274d1fd073730151cbde46a54fdbfd49c8adde1	והם נמצאים במקום הזה לא בהתלהבות ולא בשמחה		2	0					he	
a99f291ab5e30ecb4c8cd3bc9f594c650f91ab7cc5d1f16be18ecc34b360aacb71c8adf7cda010c2123a7efaae7562eb2dce71a7f16b119b2e16c0955246f573	common_voice_he_43313168.mp3	0cf65c921cc112b59adec577c246b2333eabc228d77ad0f05f289a093492e71b	אז לצערי אנחנו לא יכולים לעשות הרבה		2	0					he	
d4381e7f4a0b1519dc71e75d68dbbefef822f40b760813f755b13cc6bdcf343eff90c55c230d6191cfe5efc9bffadfd54b96fdc139e29d1a97e45cd18d6d483a	common_voice_he_40977318.mp3	035799f6baead745ae7927faca9a8a1b7c0965b818a175c35e8772734e3c3a08	העיר הפתוחה, אז, לפני כשנתיים ומשהו		2	0					he	
e0e441364c20745c13f13aae138765cd956893b3e735d37b3e420cd24691e8d075699fed276a79213db63917ddf9272030355bed7855444f7913ab5bd0606c25	common_voice_he_42402440.mp3	34aacc8d8bf8221d4c65e01cab31e6f65fb831cf768eca72e1f9519f443e0a26	הוא אמר: אני מחלק צ'קים פתוחים		2	0					he	
8091c4a214cb36c381e3d5b7e70f226e2419a70c9dd38acc2d404bb421cc94d920860d6d9b6f6bb09ba9ed7e6e0f15fd432515d7ca77195beac593cd9447c3e3	common_voice_he_43281947.mp3	141a3c0513e38702ed7e454d9815c47504011d94ae11eb8d6901f7b7c2ec4597	זו חוויה לא הכי נעימה בעולם		2	0					he	
8091c4a214cb36c381e3d5b7e70f226e2419a70c9dd38acc2d404bb421cc94d920860d6d9b6f6bb09ba9ed7e6e0f15fd432515d7ca77195beac593cd9447c3e3	common_voice_he_43281958.mp3	3697e67c9905c424fb3f53dbb5630b7001b3b9060f8e7b673d49386fbb9c82bc	המספרים שהתפרסמו בתקשורת הם לא נכונים		2	0					he	
828e44011831add3a81b1fb0228d277a81e4b13062a1fe34ca3113fdd18a1090b9d6b9c9660ec2568d2e4c37df456b26db708610b1451668d60568a3b735fbd4	common_voice_he_42487978.mp3	34195034a2e565bb356158958883c808f3fb9c5fb1e2b9e543b656d88297650d	אני רץ למכולת, אני לא יכול לדבר		2	0			ישראלי		he	
828e44011831add3a81b1fb0228d277a81e4b13062a1fe34ca3113fdd18a1090b9d6b9c9660ec2568d2e4c37df456b26db708610b1451668d60568a3b735fbd4	common_voice_he_42487979.mp3	085e545d9390c3f131b00048327a2ca28ec9d1a8f31c8a71959020cba9d6fa58	שילדים קטנים ובני-נוער צורכים סמים		2	0			ישראלי		he	
e894cff4b6f90cc01a521d9c92934a6bf0c7078bc426a3b25b4607bbaa5af15419d4d8f7ab2ae045fa3ab742dd898caef6d006b2186100566e174c612ba54044	common_voice_he_41019361.mp3	11aedfac6adfbad87ec7b129549d0afe4bbd497bd94d63234f0a3a33d437b94a	זר הוא תאגיד שהשליטה בו היא בידי זר		2	0			israeli		he	
e894cff4b6f90cc01a521d9c92934a6bf0c7078bc426a3b25b4607bbaa5af15419d4d8f7ab2ae045fa3ab742dd898caef6d006b2186100566e174c612ba54044	common_voice_he_41019364.mp3	06f0d0ed15cea5019dd8aab1f8af890d3f3e6a6d7e7b605fafbfe8de429ddd18	הארכת חיים, מצילות חיים, מאריכות חיים		2	0			israeli		he	
038c5c96458cfcacde0c5bcd5d8b9a60337b238da3028df83d7752206faf425c49a611e7d8626baf2c059b5c0a717029e9c218c5e4c9b9e63dbbbb7a5f1a185f	common_voice_he_41616556.mp3	358a052f5b967e2fd3dc60babd87fa1c9f26381101eb71898fd7321f872494e0	קווי רכבת כמו אשקלון-שדרות-באר-שבע		2	0					he	
038c5c96458cfcacde0c5bcd5d8b9a60337b238da3028df83d7752206faf425c49a611e7d8626baf2c059b5c0a717029e9c218c5e4c9b9e63dbbbb7a5f1a185f	common_voice_he_41616557.mp3	35571ee9f338c163f2e234ad44aea081105073cf301667d51331df9d0f273480	יהדות התורה מציעה שינוי במדיניות הכלכלית-החברתית		2	0					he	
038c5c96458cfcacde0c5bcd5d8b9a60337b238da3028df83d7752206faf425c49a611e7d8626baf2c059b5c0a717029e9c218c5e4c9b9e63dbbbb7a5f1a185f	common_voice_he_41616558.mp3	0053ee3db255947dc17eaa854f82eff4444cc4ac3d8da920e241c462e5cbc964	מְכַרְסֵם בְּאָזְנֶיךָ בְּמֶשֶׁךְ שָׁעוֹת תְּמִימוֹת לְלֹא הַפְסָקָה		2	0					he	
061b03b487faa02d74bfce4ee90d3393454c12f9801e4b06693d004acebfdcad0c2bd89df1014b98ce78e9cb98edb9d6f8ff8b50c2ca26e407449e3b85f59cdd	common_voice_he_39350850.mp3	014320cf4797e34236452574007d268690a6648cd6eee947aea5892120507e7a	גם הורדו טיפוליו לרמת קופת-חולים		2	0					he	
061b03b487faa02d74bfce4ee90d3393454c12f9801e4b06693d004acebfdcad0c2bd89df1014b98ce78e9cb98edb9d6f8ff8b50c2ca26e407449e3b85f59cdd	common_voice_he_39350851.mp3	8431f7b94f7221eb7867813461e181ab9806b7c71e8949be6e5035e956d9e580	הטנור שלנו שכח את קולו בביתו.		2	0					he	
061b03b487faa02d74bfce4ee90d3393454c12f9801e4b06693d004acebfdcad0c2bd89df1014b98ce78e9cb98edb9d6f8ff8b50c2ca26e407449e3b85f59cdd	common_voice_he_39350852.mp3	050ff1cc088fbb7de87171c5dc6b0455c46957fa08ec1a597c87448db890a555	יש שם קבוצה מעורבת מעבריינים מהסוגים השונים		2	1					he	
7329dc7f6090b614b96d2261eadb22b92699f70ca8f8bcf1b54fa51f2a25130b4c97d7f7a9777e1916c24a6466562eceb6b2d25aa512fb68a43caac7e9293b80	common_voice_he_40630793.mp3	273e56b8e48c7b48c3848725e5a3a8c38f5d5dd4c8e28b1554b50cc3600600ae	קניון הדר הוא נקודת החלפה בין אוטובוסים שונים		2	0					he	
7329dc7f6090b614b96d2261eadb22b92699f70ca8f8bcf1b54fa51f2a25130b4c97d7f7a9777e1916c24a6466562eceb6b2d25aa512fb68a43caac7e9293b80	common_voice_he_40630794.mp3	0f26f55d04cb35cefc70fd69915b91d306bc4c72a1d616000dd854843523d09c	שבארצות-הברית למשל יש בחינה פעם אחת בשנה		2	0					he	
7329dc7f6090b614b96d2261eadb22b92699f70ca8f8bcf1b54fa51f2a25130b4c97d7f7a9777e1916c24a6466562eceb6b2d25aa512fb68a43caac7e9293b80	common_voice_he_40630795.mp3	bcd16ecac87e18a4d76d57985743445197ef1144296d3aa2d3b0a97b6670e755	אני לא מכיר מנגנון כזה בשום תחום		2	0					he	
77b1c49688e0f50cf39e21368d3e6cff9a5613bcc1d92216859af441bc296ba806c5376e0fe12f468f05774dc1bb7bb42c7c9c5534c844c9503e3ca6a5cd59b3	common_voice_he_41066670.mp3	016f31af1a094917fb0b1b5ea0b0fb3f9492449e21cbcf464a354714a08d47ff	גם החישובים מבחינה פיננסית זה צחוק		2	0					he	
77b1c49688e0f50cf39e21368d3e6cff9a5613bcc1d92216859af441bc296ba806c5376e0fe12f468f05774dc1bb7bb42c7c9c5534c844c9503e3ca6a5cd59b3	common_voice_he_41066672.mp3	0410237f0215fe083ccab8d91e9b87ba945960583e44e4abb25dc9ba8cab05ab	בוא ניתן לזה קצת זמן ונראה איך הדברים מתנהלים		2	0					he	
77b1c49688e0f50cf39e21368d3e6cff9a5613bcc1d92216859af441bc296ba806c5376e0fe12f468f05774dc1bb7bb42c7c9c5534c844c9503e3ca6a5cd59b3	common_voice_he_41066673.mp3	b429a5101a96f4eec37fd3c391a27ff0a53f42c2876588958e591aaf4a667a57	מתנהלת בפומבי, בבית-משפט, בדלתיים פתוחות		2	0					he	
